Ranking,Puntaje_mat,PTJE_NEM,PROMEDIO_NOTAS,GENERO,TIPO_ESTABLECIMIENTO,Comuna_alumno,Univ,INGRESO_PERCAPITA_GRUPO_FA,Id_alumno,AÑO_ADMISION,ID_nuevo,Iniciales
1,723.0,451,5.1,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,UNIVERSIDAD DE CHILE,8,id_0027900372793,2026,1,UCH
2,723.0,451,5.1,MASCULINO,PARTICULAR SUBVENCIONADO,OTRA REGION,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,8,id_0027900372793,2026,1,PUC
1,539.0,985,6.95,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,7,id_0036500373611,2026,2,PUC
1,710.0,745,6.1,FEMENINO,PARTICULAR SUBVENCIONADO,SECTOR ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,2,id_0067500176718,2026,3,USM
2,710.0,745,6.1,FEMENINO,PARTICULAR SUBVENCIONADO,SECTOR ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,2,id_0067500176718,2026,3,PUC
3,710.0,745,6.1,FEMENINO,PARTICULAR SUBVENCIONADO,SECTOR ORIENTE,UNIVERSIDAD DE CHILE,2,id_0067500176718,2026,3,UCH
1,502.0,802,6.3,FEMENINO,OTRO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,1,id_0077500977789,2026,4,USM
2,502.0,802,6.3,FEMENINO,OTRO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1,id_0077500977789,2026,4,PUC
3,502.0,802,6.3,FEMENINO,OTRO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,1,id_0077500977789,2026,4,UCH
1,474.0,802,6.3,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,8,id_0100501670091,2026,5,UCH
2,474.0,802,6.3,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,8,id_0100501670091,2026,5,PUC
3,474.0,802,6.3,FEMENINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,8,id_0100501670091,2026,5,USM
1,682.0,801,6.3,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,4,id_0100501870023,2026,6,PUC
2,682.0,801,6.3,FEMENINO,PARTICULAR SUBVENCIONADO,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,4,id_0100501870023,2026,6,UCH
1,460.0,601,5.6,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,2,id_0105501270517,2026,7,PUC
2,460.0,601,5.6,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DE CHILE,2,id_0105501270517,2026,7,UCH
3,460.0,601,5.6,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD ADOLFO IBAÑEZ,2,id_0105501270517,2026,7,UAI
4,460.0,601,5.6,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,2,id_0105501270517,2026,7,USM
5,460.0,601,5.6,MASCULINO,MUNICIPAL,R.M. SECTOR NO ORIENTE,UNIVERSIDAD DEL DESARROLLO,2,id_0105501270517,2026,7,UDD
